,abstract,web_url,snippet,lead_paragraph,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization,print_section,print_page
0,"Standard Life Investments, part of Aberdeen Standard Investments (ASI), will replace Neil Woodford as manager of the LF Woodford Income Focus fund, administrator Link Fund Solutions said on Friday.",https://www.nytimes.com/reuters/2019/12/20/business/20reuters-woodford-fund-standard-life.html,"Standard Life Investments, part of Aberdeen Standard Investments (ASI), will replace Neil Woodford as manager of the LF Woodford Income Focus fund, administrator Link Fund Solutions said on Friday.","LONDON — Standard Life Investments, part of Aberdeen Standard Investments (ASI), will replace Neil Woodford as manager of the LF Woodford Income Focus fund, administrator Link Fund Solutions said on Friday.",Reuters,[],[],2019-12-20T10:04:20+0000,article,None,Business Day,News,nyt://article/fa4ddc96-262e-52dd-b8f3-96058f73d3ae,294,nyt://article/fa4ddc96-262e-52dd-b8f3-96058f73d3ae,Aberdeen Standard Unit to Manage Smaller Woodford Fund,,,Aberdeen Standard Unit to Manage Smaller Woodford Fund,,,,By Reuters,[],Reuters,,
1,"Tesla Inc said on Friday it will offer its Chinese customers more video and gaming content next year, marking the first time the automaker will offer internet-connected games in its vehicles.",https://www.nytimes.com/reuters/2019/12/20/business/20reuters-tesla-china.html,"Tesla Inc said on Friday it will offer its Chinese customers more video and gaming content next year, marking the first time the automaker will offer internet-connected games in its vehicles.","BEIJING/SHANGHAI — Tesla Inc said on Friday it will offer its Chinese customers more video and gaming content next year, marking the first time the automaker will offer internet-connected games in its vehicles.",Reuters,[],[],2019-12-20T10:04:19+0000,article,None,Business Day,News,nyt://article/186e1a76-4283-5a5a-b4f1-1cf073437a79,240,nyt://article/186e1a76-4283-5a5a-b4f1-1cf073437a79,"Mahjong, Cartoons Coming to Tesla Car Screens in China Next Year",,,"Mahjong, Cartoons Coming to Tesla Car Screens in China Next Year",,,,By Reuters,[],Reuters,,
2,European stocks came close to a record high on Friday as further confirmation of a Jan. 31 Brexit date saw investors buying into markets that have been roiled by uncertainty for more than three years. ,https://www.nytimes.com/reuters/2019/12/20/business/20reuters-europe-stocks.html,European stocks came close to a record high on Friday as further confirmation of a Jan. 31 Brexit date saw investors buying into markets that have been roiled by uncertainty for more than three years. ,LONDON — European stocks came close to a record high on Friday as further confirmation of a Jan. 31 Brexit date saw investors buying into markets that have been roiled by uncertainty for more than three years. ,Reuters,[],[],2019-12-20T10:04:16+0000,article,None,Business Day,News,nyt://article/a38ace74-075b-5116-913d-fd247606a291,426,nyt://article/a38ace74-075b-5116-913d-fd247606a291,Brexit Optimism Puts European Stocks Within Spitting Distance of Record High,,,Brexit Optimism Puts European Stocks Within Spitting Distance of Record High,,,,By Reuters,[],Reuters,,
3,Japan's government has trimmed its overall view on the economy for the fourth time this year due to a downgrade in its assessment of manufacturing output in spite of a U.S.-China trade truce.,https://www.nytimes.com/reuters/2019/12/20/business/20reuters-japan-economy-report.html,Japan's government has trimmed its overall view on the economy for the fourth time this year due to a downgrade in its assessment of manufacturing output in spite of a U.S.-China trade truce.,TOKYO — Japan's government has trimmed its overall view on the economy for the fourth time this year due to a downgrade in its assessment of manufacturing output in spite of a U.S.-China trade truce.,Reuters,[],[],2019-12-20T10:04:10+0000,article,None,Business Day,News,nyt://article/ed63ec4f-1c9d-5335-b2be-e3074c99ce52,320,nyt://article/ed63ec4f-1c9d-5335-b2be-e3074c99ce52,Japan Cuts Economy View on Weaker Factory Output,,,Japan Cuts Economy View on Weaker Factory Output,,,,By Reuters,[],Reuters,,
4,"Royal Dutch Shell said on Friday it expected to write down up to $2.3 billion in the fourth quarter, the latest major energy company forced to shrink estimates for sector values due to a weaker economic outlook.",https://www.nytimes.com/reuters/2019/12/20/business/20reuters-shell-outlook.html,"Royal Dutch Shell said on Friday it expected to write down up to $2.3 billion in the fourth quarter, the latest major energy company forced to shrink estimates for sector values due to a weaker economic outlook.","(Reuters) - Royal Dutch Shell said on Friday it expected to write down up to $2.3 billion in the fourth quarter, the latest major energy company forced to shrink estimates for sector values due to a weaker economic outlook.",Reuters,[],[],2019-12-20T10:04:09+0000,article,None,Business Day,News,nyt://article/47e05729-2295-5017-bf20-e25de520099a,478,nyt://article/47e05729-2295-5017-bf20-e25de520099a,Shell Writes Down Up to $2.3 Billion on Weaker Economic Outlook,,,Shell Writes Down Up to $2.3 Billion on Weaker Economic Outlook,,,,By Reuters,[],Reuters,,
5,"Oil prices fell on Friday, but both benchmarks logged a third straight weekly gain amid the easing of U.S.-Chinese trade tensions, which has boosted business confidence and the outlook for global economic growth.",https://www.nytimes.com/reuters/2019/12/20/business/20reuters-global-oil.html,"Oil prices fell on Friday, but both benchmarks logged a third straight weekly gain amid the easing of U.S.-Chinese trade tensions, which has boosted business confidence and the outlook for global economic growth.","NEW YORK — Oil prices fell on Friday, but both benchmarks logged a third straight weekly gain amid the easing of U.S.-Chinese trade tensions, which has boosted business confidence and the outlook for global economic growth.",Reuters,[],[],2019-12-20T10:04:07+0000,article,None,Business Day,News,nyt://article/bfb077a1-fa85-51a7-aa27-9e25d5c5513d,447,nyt://article/bfb077a1-fa85-51a7-aa27-9e25d5c5513d,Oil Prices Down but Log Third Weekly Rise on Trade Hopes,,,Oil Prices Down but Log Third Weekly Rise on Trade Hopes,,,,By Reuters,[],Reuters,,
6,"Turkish Airlines is preparing to open a court case against Boeing Co due to uncertainty regarding the plane manufacturer's 737 MAX jetliner, Demiroren news agency said on Thursday evening.",https://www.nytimes.com/reuters/2019/12/20/business/20reuters-boeing-737max-thy.html,"Turkish Airlines is preparing to open a court case against Boeing Co due to uncertainty regarding the plane manufacturer's 737 MAX jetliner, Demiroren news agency said on Thursday evening.","ISTANBUL — Turkish Airlines is preparing to open a court case against Boeing Co due to uncertainty regarding the plane manufacturer's 737 MAX jetliner, Demiroren news agency said on Thursday evening.",Reuters,[],[],2019-12-20T10:04:04+0000,article,None,Business Day,News,nyt://article/56d9e95c-d2d4-53ab-9997-72d2338ced07,209,nyt://article/56d9e95c-d2d4-53ab-9997-72d2338ced07,Turkish Airlines Prepping Case Against Boeing Over 737 MAX: News Agency,,,Turkish Airlines Prepping Case Against Boeing Over 737 MAX: News Agency,,,,By Reuters,[],Reuters,,
7,"China kept its lending benchmark rate unchanged on Friday, but markets widely expect further monetary easing in 2020 to arrest an economic slowdown in the world's second-largest economy.",https://www.nytimes.com/reuters/2019/12/20/business/20reuters-china-economy-lpr.html,"China kept its lending benchmark rate unchanged on Friday, but markets widely expect further monetary easing in 2020 to arrest an economic slowdown in the world's second-largest economy.","SHANGHAI — China kept its lending benchmark rate unchanged on Friday, but markets widely expect further monetary easing in 2020 to arrest an economic slowdown in the world's second-largest economy.",Reuters,[],[],2019-12-20T10:04:02+0000,article,None,Business Day,News,nyt://article/f718c6e1-b4a1-5ec2-a273-d85c72329982,576,nyt://article/f718c6e1-b4a1-5ec2-a273-d85c72329982,"China Keeps LPR Lending Rate Steady, but More Easing Expected",,,"China Keeps LPR Lending Rate Steady, but More Easing Expected",,,,By Reuters,[],Reuters,,
8,"In 1948, it was a ‘daring project,’ but the next 70 years weren’t kind. A Connecticut couple’s plan was to rescue and update it — and to survive the process.",https://www.nytimes.com/2019/12/20/realestate/follow-every-step-of-a-major-midcentury-modern-renovation.html,"In 1948, it was a ‘daring project,’ but the next 70 years weren’t kind. A Connecticut couple’s plan was to rescue and update it — and to survive the process.","When Justin and Samantha Barnes first saw the little midcentury pavilion in Weston, Conn., they knew it would make a fantastic weekend retreat.",The New York Times,[],"[{'name': 'subject', 'value': 'Real Estate and Housing (Residential)', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Home Repairs and Improvements', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Interior Design and Furnishings', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Furniture', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Restoration and Renovation', 'rank': 5, 'major': 'N'}]",2019-12-20T10:01:39+0000,article,RealEstate,Real Estate,News,nyt://article/de98caf8-cb18-531b-8c4c-230b257d7238,3631,nyt://article/de98caf8-cb18-531b-8c4c-230b257d7238,Follow Every Step of a Major Midcentury Modern Renovation,Renovations: Before and After,,Remaking a Midcentury Modern,,,,By Ronda Kaysen,"[{'firstname': 'Ronda', 'middlename': None, 'lastname': 'Kaysen', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,RE,1
9,"U.S. asset manager Eaton Vance has opened a Dublin office to cope with Brexit uncertainty, it said on Friday.",https://www.nytimes.com/reuters/2019/12/20/business/20reuters-britain-eu-eaton-vance.html,"U.S. asset manager Eaton Vance has opened a Dublin office to cope with Brexit uncertainty, it said on Friday.","LONDON — U.S. asset manager Eaton Vance has opened a Dublin office to cope with Brexit uncertainty, it said on Friday.",Reuters,[],[],2019-12-20T10:00:55+0000,article,None,Business Day,News,nyt://article/7493da34-c0c0-5d03-b632-05ba25dc4bf2,62,nyt://article/7493da34-c0c0-5d03-b632-05ba25dc4bf2,U.S. Fund Firm Eaton Vance Opens Brexit Hub in Dublin,,,U.S. Fund Firm Eaton Vance Opens Brexit Hub in Dublin,,,,By Reuters,[],Reuters,,
